2026-02-12 15:03:02.392 [http-nio-8081-exec-1] INFO  com.yizhaoqi.minercap.performance - [性能] [USER_LOGIN] 耗时:899ms 登录成功
2026-02-12 15:03:02.555 [http-nio-8081-exec-2] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:9ms 获取用户信息成功
2026-02-12 15:03:02.638 [http-nio-8081-exec-4] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:10ms 获取用户信息成功
2026-02-12 15:03:03.470 [http-nio-8081-exec-9] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_CONVERSATIONS] 耗时:52ms 获取对话历史成功（空结果）
2026-02-12 15:03:05.348 [http-nio-8081-exec-7] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:10ms 获取用户信息成功
2026-02-12 15:03:05.844 [http-nio-8081-exec-8] INFO  com.yizhaoqi.minercap.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:50ms 管理员查询对话历史成功
2026-02-12 15:03:06.474 [http-nio-8081-exec-3] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:14ms 获取用户信息成功
2026-02-12 15:03:07.811 [http-nio-8081-exec-10] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:17ms 获取用户上传文件成功
2026-02-12 15:03:18.960 [http-nio-8081-exec-1] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-02-12 15:03:19.219 [http-nio-8081-exec-2] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_CONVERSATIONS] 耗时:16ms 获取对话历史成功（空结果）
2026-02-12 15:03:42.696 [http-nio-8081-exec-6] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-02-12 15:03:43.353 [http-nio-8081-exec-7] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:12ms 获取用户上传文件成功
2026-02-12 15:03:44.828 [http-nio-8081-exec-8] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-02-12 15:03:50.041 [http-nio-8081-exec-3] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:9ms 获取用户信息成功
2026-02-12 15:03:53.774 [http-nio-8081-exec-4] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-02-12 15:03:54.417 [http-nio-8081-exec-9] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_ORG_TAGS] 耗时:23ms 获取组织标签成功
2026-02-12 15:04:01.361 [http-nio-8081-exec-6] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-02-12 15:04:01.694 [http-nio-8081-exec-7] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_CONVERSATIONS] 耗时:20ms 获取对话历史成功
2026-02-12 15:04:43.870 [http-nio-8081-exec-8] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:8ms 获取用户信息成功
2026-02-12 15:04:44.160 [http-nio-8081-exec-5] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_ORG_TAGS] 耗时:20ms 获取组织标签成功
